"","name.x","identifier","unique_name","key_bigbash","key_cricbuzz","key_crichq","key_cricinfo","key_cricinfo_2","key_cricingif","key_cricketarchive","key_cricketarchive_2","key_opta","key_opta_2","key_pulse","key_pulse_2","name.y","country","Full Name","Born","Age","Batting Style","Bowling Style","Playing Role","Fielding Position"
"187","ME Bouchier","c2554b59","ME Bouchier",NA,NA,NA,1022077,NA,NA,NA,NA,NA,NA,NA,NA,"Maia Bouchier","England","Maia Emily Bouchier","December 05, 1998, Kensington, Middlesex","22y 351d","Right hand bat","Right arm medium","Middle order batter",NA
"188","LCN Smith","340202b0","LCN Smith",NA,NA,NA,517577,NA,NA,NA,NA,NA,NA,3702,NA,"Linsey Smith","England","Linsey Claire Neale Smith","March 10, 1995, Hillingdon, Middlesex","26y 256d","Left hand bat","Slow left arm orthodox","Bowler",NA
"189","R McKenna","f7e41cd8","R McKenna",NA,NA,NA,1282067,NA,NA,NA,NA,NA,NA,NA,NA,"Rhys McKenna","Australia","Rhys McKenna",NA,NA,"Right hand bat","Right arm fast medium","Bowler",NA
"190","RP Yadav","6c3aef71","RP Yadav",NA,NA,NA,960737,NA,NA,1776757,NA,NA,NA,5059,NA,"Radha Yadav","India","Radha Prakash Yadav","April 21, 2000, Mumbai, Maharashtra","21y 214d","Right hand bat","Slow left arm orthodox","Bowler",NA
"191","E Johnston","3785e30d","E Johnston",NA,NA,NA,1249772,NA,NA,NA,NA,NA,NA,NA,NA,"Ellie Johnston","Australia","Ellie Johnston","January 29, 2003","18y 296d","Right hand bat","Legbreak","Allrounder",NA
"192","C Moore","284cd027","C Moore",NA,NA,NA,1282719,NA,NA,NA,NA,NA,NA,NA,NA,"Claire Moore","Australia","Claire Moore",NA,NA,"Right hand bat",NA,"Batter",NA
"193","Poonam Yadav","d0bb40b8","Poonam Yadav",NA,NA,NA,630972,NA,NA,305336,NA,NA,NA,1814,NA,"Poonam Yadav","India","Poonam Yadav","August 24, 1991, Agra, Uttar Pradesh","30y 89d","Right hand bat","Legbreak googly","Bowler",NA
"194","A Genford","52b45daa","A Genford",NA,NA,NA,1282059,NA,NA,NA,NA,NA,NA,NA,NA,"Angelina Genford","Australia","Angelina Genford",NA,NA,"Right hand bat","Right arm medium fast",NA,NA
"195","E Falconer","be50addf","E Falconer",NA,NA,NA,1128749,NA,NA,NA,NA,NA,NA,NA,NA,"Ellie Falconer","Australia","Ellie Falconer","September 03, 1999","22y 79d","Right hand bat","Right arm medium","Bowler",NA
"196","K Peterson","5f377534","K Peterson",13035,NA,NA,1203798,NA,NA,2410807,NA,NA,NA,NA,NA,"Kate Peterson","Australia","Kate Peterson",NA,NA,"Right hand bat","Right arm fast medium","Bowler",NA
"197","LA Marsh","9706e64b","LA Marsh",NA,NA,NA,249934,NA,NA,NA,NA,NA,NA,553,NA,"Laura Marsh","England","Laura Alexandra Marsh","December 05, 1986, Pembury, Kent","34y 351d","Right hand bat","Right arm fast medium, Right arm offbreak","Opening batter",NA
"198","SL Hungerford","10de03e4","SL Hungerford",NA,NA,NA,274179,NA,NA,NA,NA,NA,NA,NA,NA,"Sara Hungerford","Australia","Sara Louise Hungerford","February 13, 1986, Sydney, New South Wales","35y 281d","Right hand bat","Right arm medium","Allrounder",NA
"199","SJ Taylor","e6f36f83","SJ Taylor",NA,NA,NA,249935,NA,NA,NA,NA,NA,NA,556,NA,"Sarah Taylor","England","Sarah Jane Taylor","May 20, 1989, London Hospital, Whitechapel, London","32y 185d","Right hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"200","SACA King","77851c2d","SACA King",NA,NA,NA,355352,NA,NA,NA,NA,NA,NA,578,NA,"Stacy-Ann King","West Indies","Stacy-Ann Camille-Ann King","July 17, 1983, Trinidad","38y 127d","Left hand bat","Left arm medium",NA,NA
"201","KM Applebee","6aa5e5ac","KM Applebee",NA,NA,NA,53645,NA,NA,NA,NA,NA,NA,NA,NA,"Kelly Applebee","Australia","Kelly Maree Applebee","January 28, 1982, Bairnsdale, Victoria","39y 297d","Right hand bat","Right arm medium",NA,NA
"202","JCL Wallace","67704b7a","JCL Wallace",NA,NA,NA,268891,NA,NA,NA,NA,NA,NA,NA,NA,"Jenny Wallace","Australia","Jennifer Clare Louise Wallace","December 20, 1980, Sydney, New South Wales","40y 336d","Right hand bat",NA,NA,"Wicketkeeper"
"203","NJ Shaw","7e9ff716","NJ Shaw",NA,NA,NA,53733,NA,NA,NA,NA,NA,NA,NA,NA,"Nicky Shaw","England","Nicola Jayne Shaw","December 30, 1981, Nuneaton, Warwickshire","39y 326d","Right hand bat","Right arm fast medium",NA,NA
"204","KJ Hartshorn","97d86043","KJ Hartshorn",NA,NA,NA,482071,NA,NA,NA,NA,NA,NA,NA,NA,"Katie-Jane Hartshorn","Australia","Katie-Jane Hartshorn","June 20, 1994","27y 154d","Right hand bat","Left arm medium",NA,NA
"205","CE Brock","cb41cde5","CE Brock",NA,NA,NA,374937,NA,NA,NA,NA,NA,NA,NA,NA,"Cassie Brock","Australia","Cassie E Brock","January 31, 1991","30y 294d","Right hand bat","Legbreak googly",NA,NA
"206","J Taffs","1b63aef2","J Taffs",NA,NA,NA,381232,NA,NA,NA,NA,NA,NA,NA,NA,"Jenny Taffs","Australia","Jenny Taffs","1995",NA,"Right hand bat","Legbreak googly",NA,NA
"207","BC Binch","e663d8d7","BC Binch",NA,NA,NA,380932,NA,NA,NA,NA,NA,NA,NA,NA,"Briana Binch","Australia","Briana Carly Binch","June 18, 1987, Carlton, Melbourne, Victoria","34y 156d","Right hand bat","Right arm medium","Bowler",NA
"208","E Biss","d2abb394","E Biss",NA,NA,NA,275577,NA,NA,NA,NA,NA,NA,NA,NA,"Emma Biss","Australia","Emma Biss",NA,NA,"Right hand bat","Right arm medium",NA,NA
"209","LMM Tahuhu","60471339","LMM Tahuhu",5993,NA,NA,380929,NA,NA,394707,NA,NA,NA,1005,NA,"Lea Tahuhu","New Zealand","Lea-Marie Maureen Tahuhu","September 23, 1990, Christchurch, Canterbury","31y 59d","Right hand bat","Right arm medium fast","Bowler",NA
"210","M Strano","f57d5dbb","M Strano",7065,NA,NA,382231,NA,NA,401242,NA,NA,NA,4034,NA,"Molly Strano","Australia","Molly Strano","October 05, 1992","29y 47d","Right hand bat","Right arm offbreak","Bowler",NA
"211","NM Goodwin","4241dc19","NM Goodwin",NA,NA,NA,53673,NA,NA,NA,NA,NA,NA,NA,NA,"Nicole Goodwin","Australia","Nicole Maree Goodwin","September 14, 1984, Newcastle, New South Wales","37y 68d","Right hand bat","Left arm medium",NA,NA
"212","S Molineux","99e23670","S Molineux",8119,NA,NA,944373,NA,NA,1232589,NA,NA,NA,4043,NA,"Sophie Molineux","Australia","Sophie Molineux","January 17, 1998","23y 308d","Left hand bat","Slow left arm orthodox","Bowler",NA
"213","GM Harris","72166006","GM Harris",7735,NA,NA,381268,NA,NA,955555,NA,NA,NA,NA,NA,"Grace Harris","Australia","Grace Margaret Harris","September 18, 1993","28y 64d","Right hand bat","Right arm offbreak","Allrounder",NA
"214","DN Wyatt","a139c379","DN Wyatt",NA,NA,NA,254168,NA,NA,113029,NA,NA,NA,557,NA,"Danni Wyatt","England","Danielle Nicole Wyatt","April 22, 1991, Stoke-on-Trent, Staffordshire","30y 213d","Right hand bat","Right arm offbreak","Top order batter",NA
"215","ML Schutt","17608a6f","ML Schutt",5981,NA,NA,420314,NA,NA,913864,NA,NA,NA,997,NA,"Megan Schutt","Australia","Megan Schutt","January 15, 1993, Adelaide, South Australia","28y 310d","Right hand bat","Right arm fast medium","Bowler",NA
"216","S Nitschke","3032933c","S Nitschke",NA,NA,NA,53613,NA,NA,NA,NA,NA,NA,NA,NA,"Shelley Nitschke","Australia","Shelley Nitschke","December 03, 1976, Adelaide, South Australia","44y 353d","Left hand bat","Slow left arm orthodox",NA,NA
"217","A Wellington","9b3bcca4","A Wellington",7738,NA,NA,381305,NA,NA,955122,NA,NA,NA,NA,NA,"Amanda-Jade Wellington","Australia","Amanda-Jade Wellington","May 29, 1997, Adelaide, South Australia","24y 176d","Right hand bat","Legbreak","Bowler",NA
"218","SJ Coyte","a5f488bc","SJ Coyte",5843,NA,NA,374934,NA,NA,372495,NA,NA,NA,463,NA,"Sarah Coyte","Australia","Sarah Jane Coyte","March 30, 1991, Camden, New South Wales","30y 236d","Right hand bat","Right arm medium","Bowler",NA
"219","SJ Coyte","36769c31","SJ Coyte (2)",NA,NA,NA,4886,NA,NA,NA,NA,NA,NA,NA,NA,"Scott Coyte","Australia","Scott James Coyte","March 07, 1985, Liverpool, Sydney, New South Wales","36y 259d","Left hand bat","Right arm fast medium","Bowler",NA
"220","TM McGrath","ca5acfa4","TM McGrath",8111,NA,NA,381311,NA,NA,955115,NA,NA,NA,4138,NA,"Tahlia McGrath","Australia","Tahlia May McGrath","November 10, 1995","26y 11d","Right hand bat","Right arm medium","Allrounder",NA
"221","A Price","99e26cea","A Price",8110,NA,NA,381309,NA,NA,955120,NA,NA,NA,NA,NA,"Alex Price","Australia","Alexandra Elizabeth Price","November 05, 1995","26y 16d","Right hand bat","Right arm medium","Bowler",NA
"222","M Brown","78bec461","M Brown",10766,NA,NA,1061621,NA,NA,1232564,NA,NA,NA,NA,NA,"Maitlan Brown","Australia","Maitlan Joy Brown","June 05, 1997","24y 169d","Right hand bat","Right arm medium","Bowler",NA
"223","NA Plane","29ed56ec","NA Plane",NA,NA,NA,947817,NA,NA,NA,NA,NA,NA,NA,NA,"Natalie Plane","Australia","Natalie Anne Plane",NA,NA,NA,NA,NA,NA
"224","SFM Devine","de69af96","SFM Devine",5858,NA,NA,231740,NA,NA,73099,NA,NA,NA,478,NA,"Sophie Devine","New Zealand","Sophie Frances Monique Devine","September 01, 1989, Wellington","32y 81d","Right hand bat","Right arm medium","Batting allrounder",NA
"225","V Pyke","cb937b2d","V Pyke",NA,NA,NA,382168,NA,NA,NA,NA,NA,NA,NA,NA,"Veronica Pyke","Australia","Veronica Pyke","November 04, 1981","40y 17d","Right hand bat","Left arm medium",NA,NA
